id,lat,lon,user,uid,version,changeset,timestamp
4410978543,47.6158708,-122.3203254,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:41Z
4410978544,47.6158709,-122.3203110,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:41Z
4410978545,47.6159246,-122.3203264,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:41Z
4410978546,47.6159247,-122.3203120,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:41Z
4410978547,47.6159625,-122.3203271,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:41Z
4410978548,47.6159627,-122.3203110,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:41Z
4410978549,47.6160141,-122.3203277,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978550,47.6160142,-122.3203119,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978551,47.6160158,-122.3199520,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978552,47.6160165,-122.3198049,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978553,47.6160502,-122.3203284,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978554,47.6160504,-122.3203110,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978555,47.6161022,-122.3203290,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978556,47.6161024,-122.3203119,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978557,47.6161406,-122.3203297,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978558,47.6161412,-122.3202568,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978559,47.6162484,-122.3201599,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978560,47.6162486,-122.3201395,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978561,47.6162540,-122.3206802,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978562,47.6162541,-122.3206592,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978563,47.6163325,-122.3206816,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978564,47.6163326,-122.3206611,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978565,47.6163455,-122.3204418,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978566,47.6163474,-122.3204885,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978567,47.6163529,-122.3204886,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978568,47.6163533,-122.3204419,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978569,47.6165316,-122.3199676,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978570,47.6167657,-122.3199095,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978571,47.6168161,-122.3198744,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978572,47.6176696,-122.3201650,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978573,47.6177299,-122.3202535,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978574,47.6177309,-122.3200527,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978575,47.6179066,-122.3212412,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978576,47.6179073,-122.3208440,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978577,47.6180694,-122.3214159,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978578,47.6180697,-122.3212419,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978579,47.6180700,-122.3210739,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978580,47.6181309,-122.3202578,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978581,47.6181598,-122.3201703,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978582,47.6186185,-122.3196240,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978583,47.6186261,-122.3202313,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978584,47.6186267,-122.3201530,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978585,47.6186432,-122.3194315,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978586,47.6186561,-122.3196194,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978587,47.6186769,-122.3194561,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978588,47.6186858,-122.3195851,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
