id,key,value,type
6346526,zip_left,98102,tiger
6346526,zip_right,98102,tiger
6349048,highway,residential,regular
6349048,lanes,2,regular
6349048,maxspeed,25 mph,regular
6349048,name,East Loretta Place,regular
6349048,cfcc,A41,tiger
6349048,county,"King, WA",tiger
6349048,name_base,Loretta,tiger
6349048,name_direction_prefix,E,tiger
6349048,name_type,Place,tiger
6349048,zip_left,98102,tiger
6349048,zip_right,98102,tiger
6349123,highway,residential,regular
6349123,lanes,2,regular
6349123,maxspeed,25 mph,regular
6349123,name,Belmont Avenue,regular
6349123,cfcc,A41,tiger
6349123,county,"King, WA",tiger
6349123,name_base,Belmont,tiger
6349123,name_type,Avenue,tiger
6349123,zip_left,98122,tiger
6349123,zip_right,98122,tiger
6358498,highway,residential,regular
6358498,lanes,2,regular
6358498,maxspeed,25 mph,regular
6358498,name,Boylston Avenue East,regular
6358498,cfcc,A41,tiger
6358498,county,"King, WA",tiger
6358498,name_base,Boylston,tiger
6358498,name_direction_suffix,E,tiger
6358498,name_type,Avenue,tiger
6358498,zip_left,98102,tiger
6358498,zip_right,98102,tiger
6358524,highway,residential,regular
6358524,lanes,2,regular
6358524,maxspeed,25 mph,regular
6358524,name,Boylston Avenue East,regular
6358524,cfcc,A41,tiger
6358524,county,"King, WA",tiger
6358524,name_base,Boylston,tiger
6358524,name_direction_suffix,E,tiger
6358524,name_type,Avenue,tiger
6358524,zip_left,98102,tiger
6358524,zip_right,98102,tiger
6360256,highway,residential,regular
6360256,lanes,2,regular
6360256,maxspeed,25 mph,regular
6360256,name,24th Avenue,regular
6360256,surface,paved,regular
6360256,cfcc,A41,tiger
6360256,county,"King, WA",tiger
6360256,name_base,24th,tiger
6360256,name_type,Ave,tiger
6360256,zip_left,98122,tiger
6360256,zip_right,98122,tiger
6366765,highway,residential,regular
6366765,lanes,2,regular
6366765,maxspeed,25 mph,regular
6366765,name,Bellevue Avenue East,regular
6366765,cfcc,A41,tiger
6366765,county,"King, WA",tiger
6366765,name_base,Bellevue,tiger
6366765,name_direction_suffix,E,tiger
6366765,name_type,Avenue,tiger
6366765,zip_left,98102,tiger
6366765,zip_right,98102,tiger
6367347,highway,service,regular
6367347,lanes,1,regular
6367347,maxspeed,15 mph,regular
6367347,name,Nagle Place,regular
6367347,service,alley,regular
6367347,cfcc,A41,tiger
6367347,county,"King, WA",tiger
6367347,name_base,Nagle,tiger
6367347,name_type,Pl,tiger
6368665,highway,residential,regular
6368665,lanes,2,regular
6368665,maxspeed,25 mph,regular
6368665,name,Federal Avenue East,regular
6368665,cfcc,A41,tiger
6368665,county,"King, WA",tiger
6368665,name_base,Federal,tiger
6368665,name_direction_suffix,E,tiger
6368665,name_type,Ave,tiger
6368665,reviewed,yes,tiger
6368665,zip_left,98102,tiger
6368665,zip_right,98102,tiger
6374789,highway,residential,regular
6374789,lanes,2,regular
6374789,maxspeed,25 mph,regular
6374789,name,Belmont Avenue East,regular
6374789,cfcc,A41,tiger
6374789,county,"King, WA",tiger
6374789,name_base,Belmont,tiger
6374789,name_direction_suffix,E,tiger
6374789,name_type,Avenue,tiger
6374789,zip_left,98102,tiger
6374789,zip_right,98102,tiger
6375875,access,permissive,regular
6375875,highway,service,regular
6375875,lanes,1,regular
6375875,maxspeed,15 mph,regular
6375875,name,Madison Court,regular
6375875,service,alley,regular
6375875,cfcc,A41,tiger
6375875,county,"King, WA",tiger
6375875,name_base,Madison,tiger
6375875,name_type,Ct,tiger
6375875,zip_left,98122,tiger
6375875,zip_right,98122,tiger
6380913,highway,residential,regular
6380913,lanes,2,regular
6380913,maxspeed,25 mph,regular
6380913,name,22nd Avenue,regular
6380913,cfcc,A41,tiger
6380913,county,"King, WA",tiger
6380913,name_base,22nd,tiger
6380913,name_type,Ave,tiger
6380913,zip_left,98122,tiger
6380913,zip_right,98122,tiger
6381494,bicycle,designated,regular
6381494,cycleway,shared_lane,regular
6381494,highway,tertiary,regular
6381494,lanes,2,regular
6381494,maxspeed,30 mph,regular
6381494,name,19th Avenue East,regular
6381494,surface,asphalt,regular
6381494,cfcc,A41,tiger
6381494,county,"King, WA",tiger
6381494,name_base,19th,tiger
6381494,name_direction_suffix,E,tiger
6381494,name_type,Ave,tiger
6381494,zip_left,98112,tiger
6381494,zip_right,98112,tiger
6383185,highway,residential,regular
6383185,lanes,2,regular
6383185,maxspeed,25 mph,regular
6383185,name,22nd Avenue East,regular
6383185,cfcc,A41,tiger
6383185,county,"King, WA",tiger
6383185,name_base,22nd,tiger
6383185,name_direction_suffix,E,tiger
